0	1	21
0	21	20
20	21	41
20	41	40
40	41	61
40	61	60
60	61	81
60	81	80
80	81	101
80	101	100
100	101	121
100	121	120
120	121	141
120	141	140
140	141	161
140	161	160
160	161	181
160	181	180
180	181	201
180	201	200
200	201	221
200	221	220
220	221	241
220	241	240
240	241	261
240	261	260
260	261	281
260	281	280
280	281	301
280	301	300
300	301	321
300	321	320
320	321	341
320	341	340
340	341	361
340	361	360
360	361	381
360	381	380
380	381	401
380	401	400
1	2	22
1	22	21
21	22	42
21	42	41
41	42	62
41	62	61
61	62	82
61	82	81
81	82	102
81	102	101
101	102	122
101	122	121
121	122	142
121	142	141
141	142	162
141	162	161
161	162	182
161	182	181
181	182	202
181	202	201
201	202	222
201	222	221
221	222	242
221	242	241
241	242	262
241	262	261
261	262	282
261	282	281
281	282	302
281	302	301
301	302	322
301	322	321
321	322	342
321	342	341
341	342	362
341	362	361
361	362	382
361	382	381
381	382	402
381	402	401
2	3	23
2	23	22
22	23	43
22	43	42
42	43	63
42	63	62
62	63	83
62	83	82
82	83	103
82	103	102
102	103	123
102	123	122
122	123	143
122	143	142
142	143	163
142	163	162
162	163	183
162	183	182
182	183	203
182	203	202
202	203	223
202	223	222
222	223	243
222	243	242
242	243	263
242	263	262
262	263	283
262	283	282
282	283	303
282	303	302
302	303	323
302	323	322
322	323	343
322	343	342
342	343	363
342	363	362
362	363	383
362	383	382
382	383	403
382	403	402
3	4	24
3	24	23
23	24	44
23	44	43
43	44	64
43	64	63
63	64	84
63	84	83
83	84	104
83	104	103
103	104	124
103	124	123
123	124	144
123	144	143
143	144	164
143	164	163
163	164	184
163	184	183
183	184	204
183	204	203
203	204	224
203	224	223
223	224	244
223	244	243
243	244	264
243	264	263
263	264	284
263	284	283
283	284	304
283	304	303
303	304	324
303	324	323
323	324	344
323	344	343
343	344	364
343	364	363
363	364	384
363	384	383
383	384	404
383	404	403
4	5	25
4	25	24
24	25	45
24	45	44
44	45	65
44	65	64
64	65	85
64	85	84
84	85	105
84	105	104
104	105	125
104	125	124
124	125	145
124	145	144
144	145	165
144	165	164
164	165	185
164	185	184
184	185	205
184	205	204
204	205	225
204	225	224
224	225	245
224	245	244
244	245	265
244	265	264
264	265	285
264	285	284
284	285	305
284	305	304
304	305	325
